,R,G,B,r,g,b,H(度),S（1~100）,V（1~100）,Vmax,Vmin,tmpH
red_wool,161,39,34,0.631372549,0.152941176,0.133333333,2,79,63,0.631372549,0.133333333,0.04122825
brown_wool,114,72,40,0.447058824,0.282352941,0.156862745,26,65,45,0.447058824,0.156862745,0.452842184
orange_wool,241,119,20,0.945098039,0.466666667,0.078431373,27,92,95,0.945098039,0.078431373,0.469106595
yellow_wool,249,198,40,0.976470588,0.776470588,0.156862745,45,84,98,0.976470588,0.156862745,0.791661307
light_gray_wool,142,142,135,0.556862745,0.556862745,0.529411765,60,5,56,0.556862745,0.529411765,1.047197551
green_wool,85,110,27,0.333333333,0.431372549,0.105882353,78,75,43,0.431372549,0.105882353,1.3626185
lime_wool,112,185,26,0.439215686,0.725490196,0.101960784,88,86,73,0.725490196,0.101960784,1.527986364
cyan_wool,21,138,91,0.082352941,0.541176471,0.356862745,156,85,54,0.541176471,0.082352941,2.720923552
white_wool,234,237,237,0.917647059,0.929411765,0.929411765,180,1,93,0.929411765,0.917647059,3.141592654
light_blue_wool,58,176,218,0.22745098,0.690196078,0.854901961,196,73,85,0.854901961,0.22745098,3.416482011
gray_wool,63,68,72,0.247058824,0.266666667,0.282352941,207,13,28,0.282352941,0.247058824,3.607013787
black_wool,21,22,26,0.082352941,0.08627451,0.101960784,228,19,10,0.101960784,0.082352941,3.979350695
blue_wool,53,57,158,0.207843137,0.223529412,0.619607843,238,66,62,0.619607843,0.207843137,4.148896965
purple_wool,122,42,173,0.478431373,0.164705882,0.678431373,277,76,68,0.678431373,0.164705882,4.82830016
magenta_wool,190,69,180,0.745098039,0.270588235,0.705882353,305,64,75,0.745098039,0.270588235,-0.960652299
pink_wool,238,142,173,0.933333333,0.556862745,0.678431373,341,40,93,0.933333333,0.556862745,-0.338157543
